PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 2 y 4,porjvpiva_m,porpastamarindos3,R1AD24A,172.29.26.245,2/9,CAMBIADO
Internet Home ADSL Mixto 0.5 y 2.5,porsavillegasg1,porpastamarindos3,R1AD24A,172.29.26.245,2/6,CAMBIADO
Internet Home ADSL Mixto 0.5 y 8.1,porjczavala_m,porpastamarindos3,R1AD24A,172.29.26.245,2/16,CAMBIADO
Home ADSL Mixto 3 y 6,uiomasalazart1,uiotndaltosdenayon1,R1AD24A,172.30.251.179,2/18,CAMBIADO
Home ADSL Mixto 2 y 4,uiojdastudi_m,uiotndaltosdenayon1,R1AD24A,172.30.251.179,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,bnflaveral_m,bnfbnfcentro2,R1AD24A,172.22.24.253,2/6,CAMBIADO
Home ADSL Mixto 1 y 2,bnflfeng_m,bnfbnfcentro2,R1AD24A,172.22.24.253,2/24,CAMBIADO
Home ADSL Mixto 3 y 6,uiogpaezh1,uiofldppichincha1,R1AD24A,172.30.249.242,2/3,CAMBIADO
Home ADSL Mixto 3 y 6,uiomjalonsol3,uiofldppichincha1,R1AD24A,172.30.249.242,2/4,CAMBIADO
Home ADSL Mixto 1 y 2,uiomglalanguip1,uiopamsolI1,R1AD24A,172.30.252.44,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,stdjcegasl_m,stdclnsantarosa1,R1AD24A,172.30.253.78,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,stdjmchacons1,stdclnsantarosa1,R1AD24A,172.30.253.78,2/1,CAMBIADO
Home ADSL Mixto 1 y 2,uiodigranizob1,uiofrtcomite2,R1AD24A,172.30.252.179,2/24,CAMBIADO
Home ADSL Mixto 2 y 4,uioalbazano1,uiofrtcomite2,R1AD24A,172.30.252.179,2/13,CAMBIADO
Home ADSL Mixto 3 y 6,uioarverar,uiofrtcomite2,R1AD24A,172.30.252.179,2/16,CAMBIADO
Home ADSL Mixto 1 y 2,uiolntufinom1,uiogch3urbvalle1,R1AD24A,172.30.254.135,2/2,CAMBIADO
Home ADSL Mixto 4 y 8,uiocna_m2_m,uiogch3urbvalle1,R1AD24A,172.30.254.135,2/11,CAMBIADO
Home ADSL Mixto 2 y 4,uiotlepou_m,uiogch3urbvalle1,R1AD24A,172.30.254.135,2/5,CAMBIADO
Home ADSL Mixto 512 y 1024,quefdgarciar1,quecrescamilo2,R1AD24A,172.22.50.253,2/19,CAMBIADO
Home ADSL Mixto 512 y 1024,quekdholguinr1,quecrescamilo2,R1AD24A,172.22.50.253,2/20,CAMBIADO
Home ADSL Mixto 1 y 2,quegmloorr_m,quecrescamilo2,R1AD24A,172.22.50.253,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,quehatino_m,quecrescamilo2,R1AD24A,172.22.50.253,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,quejamora_m,quecrescamilo2,R1AD24A,172.22.50.253,2/5,CAMBIADO
Home ADSL Mixto 1 y 2,quevpbeta_m,quecrescamilo2,R1AD24A,172.22.50.253,2/4,CAMBIADO
Home ADSL Mixto 1 y 2,quejvcald_m,quecrescamilo2,R1AD24A,172.22.50.253,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,quelglitardoc,quecrescamilo2,R1AD24A,172.22.50.253,2/23,CAMBIADO
Home ADSL Mixto 2 y 4,quevmller_m,quecrescamilo2,R1AD24A,172.22.50.253,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,maneameram_m,mntulevillav1,R1AD24A,172.28.71.254,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,mangjgonz_m,mntulevillav1,R1AD24A,172.28.71.254,2/5,CAMBIADO
Home ADSL Mixto 1 y 2,gyembcedenon1,gyeinmacumbresdelsol1,R1AD24A,172.17.135.254,2/1,CAMBIADO
Home ADSL Mixto 1 y 2,gyemadonosol1,gyeinmacumbresdelsol1,R1AD24A,172.17.135.254,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,uiogvbarr_m,uioitrmagdalena1,R1AD24A,172.30.252.196,2/15,CAMBIADO
Home ADSL Mixto 1 y 2,gyedvyepezv1,gyeurdurdesauno1,R1AD24A,172.27.229.254,2/9,CAMBIADO
Home ADSL Mixto 3 y 6,gyedrinzop,gyeurdurdesauno1,R1AD24A,172.27.229.254,2/7,CAMBIADO
Home ADSL Mixto 2 y 4,gyeespinc_m,gyeurdurdesauno1,R1AD24A,172.27.229.254,2/23,CAMBIADO
Home ADSL Mixto 2 y 4,gyecvillaom_m,gyeurdurdesauno1,R1AD24A,172.27.229.254,2/11,CAMBIADO
Home ADSL Mixto 512 y 1024,milvfaria_m,milmilpraderados2,R1AD24A,172.16.105.253,2/23,CAMBIADO
Home ADSL Mixto 512 y 1024,mildrriva_m,milmilpraderados2,R1AD24A,172.16.105.253,2/20,CAMBIADO
Home ADSL Mixto 512 y 1024,miladloorm_m,milmilpraderados2,R1AD24A,172.16.105.253,2/18,CAMBIADO
Home ADSL Mixto 512 y 1024,milhrcond_m,milmilpraderados2,R1AD24A,172.16.105.253,2/24,CAMBIADO
Home ADSL Mixto 512 y 2048,milnmcasc_m4,milmilpraderados2,R1AD24A,172.16.105.253,2/19,CAMBIADO
Home ADSL Mixto 512 y 2048,milmvtorresm1,milmilpraderados2,R1AD24A,172.16.105.253,2/15,CAMBIADO
Home ADSL Mixto 1 y 2,pineagonzale_m,pinpinfcocarrion1,R1AD24A,172.24.53.254,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,pinmrguam_m,pinpinfcocarrion1,R1AD24A,172.24.53.254,2/5,CAMBIADO
Home ADSL Mixto 1 y 2,pinalcham_m,pinpinfcocarrion1,R1AD24A,172.24.53.254,2/21,CAMBIADO
Home ADSL Mixto 1 y 2,pinpvareva_m,pinpinfcocarrion1,R1AD24A,172.24.53.254,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,pinrhcuev_m,pinpinfcocarrion1,R1AD24A,172.24.53.254,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,pincmramirezl1,pinpinfcocarrion1,R1AD24A,172.24.53.254,2/20,CAMBIADO
Home ADSL Mixto 0.512 y 1.54,pinemjaramil_m3,pinpinfcocarrion1,R1AD24A,172.24.53.254,2/6,CAMBIADO
Home ADSL Mixto 512 y 1024,miljjsoli_m,milmilsanmiguel3,R1AD24A,172.16.75.253,2/5,CAMBIADO
Home ADSL Mixto 512 y 1024,milcrbust_m,milmilsanmiguel3,R1AD24A,172.16.75.253,2/4,CAMBIADO
Home ADSL Mixto 512 y 1024,milebcede_m,milmilsanmiguel3,R1AD24A,172.16.75.253,2/2,CAMBIADO
Home ADSL Mixto 512 y 3072,milofsolisp1,milmilsanmiguel3,R1AD24A,172.16.75.253,2/7,CAMBIADO
Home ADSL Mixto 512 y 4096,milaazamb_m8,milmilsanmiguel3,R1AD24A,172.16.75.253,2/1,CAMBIADO
Home ADSL Mixto 1 y 2,mandesalv_m,mntvilsanpedro1,R1AD24A,172.28.130.254,2/3,CAMBIADO
Home ADSL Mixto 1 y 2,mandointr_m,mntvilsanpedro1,R1AD24A,172.28.130.254,2/21,CAMBIADO
Home ADSL Mixto 1 y 2,mandrpicop_m,mntvilsanpedro1,R1AD24A,172.28.130.254,2/23,CAMBIADO
Home ADSL Mixto 1 y 2,manappalma_m,mntvilsanpedro1,R1AD24A,172.28.130.254,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,manmmgoyb_m,mntvilsanpedro1,R1AD24A,172.28.130.254,2/22,CAMBIADO
Home ADSL Mixto 1 y 2,manymsalv_m,mntvilsanpedro1,R1AD24A,172.28.130.254,2/2,CAMBIADO
Home ADSL Mixto 1 y 2,manlapicoz_m,mntvilsanpedro1,R1AD24A,172.28.130.254,2/20,CAMBIADO
Home ADSL Mixto 2 y 4,mandepesantesb2,mntvilsanpedro1,R1AD24A,172.28.130.254,2/19,CAMBIADO
Home ADSL Mixto 2 y 4,mannjzambranoc1,mntvilsanpedro1,R1AD24A,172.28.130.254,2/18,CAMBIADO
Home ADSL Mixto 512 y 1024,milbamejiab_n,milmilccamas1,R1AD24A,172.16.90.254,2/9,CAMBIADO
Home ADSL Mixto 512 y 1024,mildsboni_m,milmilccamas1,R1AD24A,172.16.90.254,2/20,CAMBIADO
Home ADSL Mixto 512 y 1024,milmfvasq_m,milmilccamas1,R1AD24A,172.16.90.254,2/4,CAMBIADO
Home ADSL Mixto 512 y 3072,milcdriosl_m6,milmilccamas1,R1AD24A,172.16.90.254,2/24,CAMBIADO
Home ADSL Mixto 512 y 3072,mildmmor_m6,milmilccamas1,R1AD24A,172.16.90.254,2/1,CAMBIADO
Home ADSL Mixto 1 y 2,manjevill_m,mnttelespanola1,R1AD24A,172.28.86.242,2/21,CAMBIADO
Home ADSL Mixto 2 y 4,mancatell_m,mnttelespanola1,R1AD24A,172.28.86.242,2/1,CAMBIADO
Home ADSL Mixto 4 y 8,manjsalcedob_m,mnttelespanola1,R1AD24A,172.28.86.242,2/24,CAMBIADO
Home ADSL Mixto 1 y 2,uiojpserranom1,uiolbdinca1,R1AD24A,172.30.252.202,2/11,CAMBIADO
Home ADSL Mixto 1 y 2,rioglverar,riotrmestadio1,R1AD24A,172.31.200.2,2/17,CAMBIADO
Home ADSL Mixto 2 y 4,riotelandivarm1,riotrmestadio1,R1AD24A,172.31.200.2,2/5,CAMBIADO
